§,firstname,lastname,memberOf,managerOf,disabled,password
h.potter,Harry,Potter,Hogwarts/Students/Gryffindor,quiddich-griffindor,false,asd123
h.granger,Hermione,Granger,Hogwarts/Students/Gryffindor,,false,huGHa
r.weasley,Ron,Weasley,Hogwarts/Students/Gryffindor,,false,asd123
f.weasley,Fred,Weasley,Hogwarts/Students/Gryffindor;quiddich-griffindor,,false,sLh5D
ge.weasley,George,Weasley,Hogwarts/Students/Gryffindor;quiddich-griffindor,,false,Hhktd
gi.weasley,Ginny,Weasley,Hogwarts/Students/Gryffindor,,false,HidpQ
p.weasley,Percy,Weasley,Hogwarts/Students/Gryffindor,,false,BVzp7
n.longbottom,Neville,Longbottom,Hogwarts/Students/Gryffindor,,false,4j91q
s.finnigan,Seamus,Finnigan,Hogwarts/Students/Gryffindor,,false,X3rVs
o.wood,Oliver,Wood,Hogwarts/Students/Gryffindor,quiddich-griffindor,false,He7jK
k.bell,Katie,Bell,Hogwarts/Students/Gryffindor;quiddich-griffindor,,false,CStTz
l.brown,Lavender,Brown,Hogwarts/Students/Gryffindor,,false,3PnNC
c.creevey,Colin,Creevey,Hogwarts/Students/Gryffindor,,false,FxRQO
d.creevey,Dennis,Creevey,Hogwarts/Students/Gryffindor,,false,O0Unq
a.johnson,Angelina,Johnson,Hogwarts/Students/Gryffindor;quiddich-griffindor,,false,xwlPf
l.jordan,Lee,Jordan,Hogwarts/Students/Gryffindor,,false,FeJKf
c.mcLaggen,Cormac,McLaggen,Hogwarts/Students/Gryffindor,,false,WGV9Z
p.patil,Parvati,Patil,Hogwarts/Students/Gryffindor,,false,L06xC
a.spinnet,Alicia,Spinnet,Hogwarts/Students/Gryffindor;quiddich-griffindor,,false,3QyWK
d.thomas,Dean,Thomas,Hogwarts/Students/Gryffindor;quiddich-griffindor,,false,7bUIs
s.bones,Susan,Bones,Hogwarts/Students/Hufflepuff,,false,zzkzQ
c.diggory,Cedric,Diggory,Hogwarts/Students/Hufflepuff,quiddich-hufflepuff,false,dDtXQ
j.finchFletchley,Justin,Finch-Fletchley,Hogwarts/Students/Hufflepuff,,false,4hicr
e.macmillan,Ernie,Macmillan,Hogwarts/Students/Hufflepuff,,false,o1vdP
z.smith,Zacharias,Smith,Hogwarts/Students/Hufflepuff;quiddich-hufflepuff,,false,wWytb
m.oflaherty,Maxine,O'Flaherty,Hogwarts/Students/Hufflepuff;quiddich-hufflepuff,,false,8zSQC
a.rickett,Anthony,Rickett,Hogwarts/Students/Hufflepuff;quiddich-hufflepuff,,false,aR5Qz
m.mcManus,Michael,McManus,Hogwarts/Students/Hufflepuff;quiddich-hufflepuff,,false,68oPS
m.preece,Malcolm,Preece,Hogwarts/Students/Hufflepuff;quiddich-hufflepuff,,false,SjkHQ
h.macavoy,Heidi,Macavoy,Hogwarts/Students/Hufflepuff;quiddich-hufflepuff,,false,jkxdA
t.applebee,Tamsin,Applebee,Hogwarts/Students/Hufflepuff;quiddich-hufflepuff,,false,b5eaL
l.lovegood,Luna,Lovegood,Hogwarts/Students/Ravenclaw,,false,gVpvc
t.boot,Terry,Boot,Hogwarts/Students/Ravenclaw,,false,jMeJC
ch.Chang,Cho,Chang,Hogwarts/Students/Ravenclaw;quiddich-ravenclaw,,false,MyNFI
p.clearwater,Penelope,Clearwater,Hogwarts/Students/Ravenclaw,,false,beT2o
m.corner,Michael,Corner,Hogwarts/Students/Ravenclaw,,false,SzZjR
r.davies,Roger,Davies,Hogwarts/Students/Ravenclaw,quiddich-ravenclaw,false,1WPNp
m.edgecombe,Marietta,Edgecombe,Hogwarts/Students/Ravenclaw,,false,9NXxc
a.goldstein,Anthony,Goldstein,Hogwarts/Students/Ravenclaw,,false,QGLi0
pa.patil,Padma,Patil,Hogwarts/Students/Ravenclaw,,false,L06xC
j.stretton,Jeremy,Stretton,Hogwarts/Students/Ravenclaw;quiddich-ravenclaw,,false,Qo2kc
r.burrow,Randolph,Burrow,Hogwarts/Students/Ravenclaw;quiddich-ravenclaw,,false,BtwrF
d.inglebee,Duncan,Inglebee,Hogwarts/Students/Ravenclaw;quiddich-ravenclaw,,false,0hFEp
d.malfoy,Draco,Malfoy,Hogwarts/Students/Slytherin;quiddich-slytherin,,false,lOBrZ
m.bulstrode,Millicent,Bulstrode,Hogwarts/Students/Slytherin,,false,fzFmz
v.crabbe,Vincent,Crabbe,Hogwarts/Students/Slytherin;quiddich-slytherin,,false,gFv53
m.flint,Marcus,Flint,Hogwarts/Students/Slytherin,quiddich-slytherin,false,Iy6lp
g.goyle,Gregory,Goyle,Hogwarts/Students/Slytherin;quiddich-slytherin,,false,wboNH
g.montague,Graham,Montague,Hogwarts/Students/Slytherin;quiddich-slytherin,,false,H08hH
t.nott,Theodore,Nott,Hogwarts/Students/Slytherin,,false,sOc81
p.parkinson,Pansy,Parkinson,Hogwarts/Students/Slytherin,,false,wd7TU
b.zabini,Blaise,Zabini,Hogwarts/Students/Slytherin,,false,bwdzH
a.dumbledore,Albus,Dumbledore,Hogwarts/Staff/Professors,Hogwarts/Staff/Professors;Hogwarts/Staff/Auxiliary,false,asd123
l.voldemort,Lord,Voldemort,Hogwarts/Staff/Professors,,false,w3Hn3
m.mcGonagall,Minerva,McGonagall,Hogwarts/Staff/Professors,Hogwarts/Students/Gryffindor,false,LnwYb
s.snape,Severus,Snape,Hogwarts/Staff/Professors,Hogwarts/Students/Slytherin,false,3p0AE
p.sprout,Pomona,Sprout,Hogwarts/Staff/Professors,Hogwarts/Students/Hufflepuff,false,TPL2T
f.flitwick,Filius,Flitwick,Hogwarts/Staff/Professors,Hogwarts/Students/Ravenclaw,false,3seVL
s.trelawney,Sybill,Trelawney,Hogwarts/Staff/Professors,,false,irY4l
